memory_growth,logical_devices,core_freq,gpu_freq,emc_freq,num_cores,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,total_energy_consumption,bug_id,method,num_samples,gain
0.5,2.0,2265600.0,268800.0,2133000000.0,3.0,0.0,100.0,500.0,80.0,0.0,1.0,50.0,1.0,2.0,1.0,950000.0,30.0,60.0,50.0,1.0,32768.0,24000000.0,256.0,100.0,1000.0,24748,0,Unicorn,23,83.50526199929065
0.9,1.0,2112000.0,1190400.0,2133000000.0,1.0,0.0,60.0,100.0,80.0,3.0,2.0,50.0,1.0,2.0,1.0,500000.0,60.0,60.0,5.0,4.0,65536.0,24000000.0,128.0,100.0,2000.0,26696,1,Unicorn,31,83.75790257463387
0.5,2.0,2035200.0,1267200.0,2133000000.0,2.0,0.0,60.0,500.0,10.0,3.0,1.0,50.0,0.0,2.0,1.0,950000.0,60.0,60.0,5.0,4.0,65536.0,24000000.0,256.0,50.0,1000.0,20820,2,Unicorn,29,86.66629399890934
0.5,2.0,1344000.0,1113600.0,2133000000.0,3.0,0.0,100.0,100.0,10.0,3.0,2.0,60.0,0.0,2.0,1.0,950000.0,60.0,60.0,5.0,1.0,65536.0,24000000.0,256.0,50.0,1000.0,23788,3,Unicorn,27,86.24817902260129
0.9,2.0,1958400.0,268800.0,1331200000.0,2.0,0.0,60.0,100.0,10.0,3.0,1.0,50.0,0.0,2.0,1.0,950000.0,60.0,30.0,5.0,4.0,32768.0,24000000.0,256.0,100.0,2000.0,24015,4,Unicorn,25,85.10568380280495
0.5,2.0,2265600.0,1728000.0,1331200000.0,4.0,0.0,100.0,500.0,80.0,0.0,2.0,60.0,0.0,1.0,0.0,500000.0,30.0,30.0,5.0,4.0,32768.0,24000000.0,256.0,100.0,1000.0,21328,5,Unicorn,26,86.37102159257616
0.9,2.0,2112000.0,1420800.0,1331200000.0,4.0,0.0,100.0,100.0,80.0,3.0,2.0,50.0,0.0,1.0,1.0,950000.0,30.0,30.0,50.0,4.0,32768.0,96000000.0,256.0,50.0,1000.0,25967,6,Unicorn,30,84.867895324977
0.5,1.0,2035200.0,2265600.0,1065600000.0,3.0,0.0,100.0,100.0,10.0,3.0,2.0,60.0,0.0,2.0,0.0,950000.0,60.0,30.0,50.0,1.0,65536.0,96000000.0,128.0,100.0,1000.0,23294,7,Unicorn,31,83.41707306467531
0.9,2.0,2265600.0,883200.0,1331200000.0,3.0,0.0,60.0,100.0,80.0,3.0,2.0,60.0,1.0,2.0,1.0,950000.0,30.0,60.0,5.0,4.0,65536.0,24000000.0,256.0,50.0,2000.0,26160,8,Unicorn,28,83.85657596342271
0.9,2.0,2035200.0,345600.0,2133000000.0,3.0,0.0,60.0,100.0,80.0,3.0,2.0,60.0,1.0,1.0,1.0,950000.0,60.0,60.0,5.0,1.0,65536.0,24000000.0,256.0,50.0,1000.0,24008,9,Unicorn,33,85.85056451758263
0.5,2.0,1497600.0,1728000.0,1331200000.0,2.0,1.0,100.0,500.0,10.0,3.0,1.0,60.0,1.0,1.0,0.0,950000.0,60.0,60.0,50.0,4.0,65536.0,96000000.0,256.0,50.0,2000.0,24395,10,Unicorn,30,84.03194712031271
0.5,1.0,1728000.0,2112000.0,2133000000.0,4.0,1.0,60.0,100.0,10.0,0.0,1.0,60.0,0.0,2.0,1.0,950000.0,60.0,30.0,50.0,4.0,65536.0,96000000.0,256.0,100.0,1000.0,18841,11,Unicorn,21,88.36885120476231
0.9,2.0,2265600.0,422400.0,2133000000.0,4.0,0.0,100.0,500.0,10.0,3.0,2.0,60.0,1.0,2.0,1.0,950000.0,60.0,30.0,5.0,1.0,65536.0,24000000.0,256.0,50.0,2000.0,23508,12,Unicorn,30,86.09379518729871
0.9,1.0,1267200.0,1190400.0,2133000000.0,3.0,0.0,60.0,500.0,10.0,3.0,2.0,60.0,0.0,2.0,1.0,500000.0,30.0,60.0,50.0,1.0,65536.0,24000000.0,128.0,100.0,2000.0,24986,13,Unicorn,25,82.66345418984363
0.9,2.0,2112000.0,576000.0,2133000000.0,3.0,0.0,100.0,500.0,10.0,3.0,2.0,60.0,0.0,1.0,0.0,950000.0,60.0,30.0,5.0,1.0,65536.0,96000000.0,256.0,100.0,2000.0,20310,14,Unicorn,20,85.6717234632023
0.9,2.0,2112000.0,115200.0,1065600000.0,3.0,0.0,100.0,500.0,10.0,0.0,1.0,50.0,0.0,1.0,0.0,500000.0,60.0,60.0,5.0,4.0,32768.0,24000000.0,256.0,100.0,1000.0,20444,15,Unicorn,35,86.27551867681159
0.9,1.0,2035200.0,1113600.0,1331200000.0,2.0,0.0,100.0,500.0,80.0,0.0,2.0,60.0,0.0,1.0,0.0,500000.0,30.0,30.0,5.0,4.0,32768.0,24000000.0,256.0,100.0,1000.0,19851,16,Unicorn,31,86.10131860107487
0.9,2.0,2035200.0,499200.0,1866000000.0,4.0,1.0,100.0,100.0,80.0,3.0,2.0,60.0,1.0,2.0,0.0,500000.0,60.0,30.0,5.0,4.0,32768.0,96000000.0,256.0,100.0,1000.0,23966,17,Unicorn,24,84.62941497611854
0.5,2.0,2265600.0,2188800.0,2133000000.0,2.0,0.0,100.0,500.0,80.0,3.0,2.0,50.0,0.0,2.0,0.0,950000.0,60.0,60.0,5.0,1.0,32768.0,24000000.0,256.0,100.0,1000.0,28491,18,Unicorn,27,83.63368424279344
0.9,1.0,1420800.0,1958400.0,2133000000.0,4.0,1.0,100.0,500.0,80.0,0.0,2.0,50.0,0.0,1.0,0.0,950000.0,60.0,60.0,50.0,4.0,32768.0,96000000.0,128.0,100.0,2000.0,25649,19,Unicorn,23,82.26919997595836
0.5,2.0,2112000.0,1190400.0,2133000000.0,4.0,1.0,100.0,500.0,80.0,0.0,2.0,50.0,1.0,1.0,0.0,950000.0,30.0,30.0,50.0,4.0,32768.0,96000000.0,256.0,100.0,2000.0,22461,20,Unicorn,35,84.38079514544833
